iter	Passed	Remaining
0	1	155
1	2	140
2	4	131
3	5	120
4	6	116
5	7	110
6	8	107
7	9	106
8	10	104
9	11	102
10	12	100
11	13	97
12	14	95
13	15	95
14	16	94
15	17	93
16	18	91
17	19	89
18	20	88
19	21	86
20	22	85
21	23	84
22	24	83
23	25	81
24	26	80
25	27	79
26	28	78
27	30	78
28	31	77
29	32	76
30	33	75
31	34	74
32	35	72
33	36	71
34	37	70
35	39	69
36	40	68
37	40	66
38	41	65
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	59	50
54	59	48
55	60	47
56	61	46
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	37
65	71	36
66	72	35
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	25
77	84	23
78	85	22
79	86	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	107	1
99	108	0
